5.000 -19.000 983.000 -189.091 -311.818 -144.898 0.350 0.157 -0.822 
3.000 -19.000 988.000 -189.091 -310.909 -146.939 0.315 0.157 -1.295 
-4.000 -19.000 987.000 -187.273 -312.727 -143.878 0.367 0.035 -1.242 
0.000 -21.000 992.000 -189.091 -310.000 -143.878 0.472 0.157 -0.857 
-1.000 -22.000 991.000 -192.727 -311.818 -144.898 0.245 0.105 -1.592 
2.000 -24.000 992.000 -186.364 -314.545 -143.878 0.385 0.017 -1.382 
4.000 -23.000 989.000 -187.273 -309.091 -143.878 0.367 -0.070 -1.417 
1.000 -24.000 987.000 -185.455 -310.909 -145.918 0.420 -0.052 -1.400 
1.000 -20.000 985.000 -185.455 -311.818 -144.898 0.420 0.000 -1.102 
-1.000 -21.000 987.000 -189.091 -308.182 -145.918 0.402 -0.122 -1.347 
3.000 -22.000 994.000 -188.182 -310.000 -146.939 0.367 -0.017 -1.155 
-3.000 -19.000 983.000 -189.091 -311.818 -144.898 0.367 0.070 -1.032 
3.000 -20.000 990.000 -190.000 -307.273 -146.939 0.245 0.035 -1.032 
1.000 -23.000 994.000 -185.455 -310.000 -144.898 0.472 0.105 -1.207 
1.000 -24.000 986.000 -192.727 -310.000 -148.980 0.525 -0.035 -1.207 
2.000 -21.000 987.000 -191.818 -310.000 -147.959 0.280 0.175 -0.980 
1.000 -17.000 987.000 -188.182 -310.000 -145.918 0.315 0.262 -0.822 
2.000 -20.000 991.000 -191.818 -310.000 -147.959 0.315 0.052 -1.155 
-2.000 -20.000 989.000 -191.818 -310.000 -143.878 0.385 0.087 -1.190 
4.000 -18.000 984.000 -189.091 -309.091 -143.878 0.560 0.175 -0.962 
0.000 -24.000 986.000 -193.636 -309.091 -146.939 0.280 0.175 -0.980 
0.000 -23.000 988.000 -190.000 -310.000 -147.959 0.507 0.105 -1.120 
0.000 -20.000 987.000 -189.091 -310.909 -148.980 0.315 0.105 -1.172 
2.000 -22.000 980.000 -192.727 -307.273 -147.959 0.350 -0.087 -1.382 
1.000 -20.000 986.000 -190.000 -311.818 -147.959 0.455 0.175 -0.997 
-3.000 -18.000 993.000 -185.455 -313.636 -145.918 0.280 -0.017 -1.067 
3.000 -19.000 980.000 -198.182 -309.091 -148.980 0.455 0.052 -1.102 
3.000 -18.000 990.000 -191.818 -312.727 -147.959 0.490 0.140 -0.980 
3.000 -28.000 989.000 -187.273 -312.727 -144.898 0.402 0.140 -0.962 
6.000 -22.000 986.000 -192.727 -310.000 -150.000 0.297 -0.017 -1.295 
2.000 -18.000 989.000 -191.818 -310.909 -146.939 0.350 -0.017 -1.312 
0.000 -22.000 987.000 -189.091 -311.818 -146.939 0.315 -0.070 -1.190 
4.000 -20.000 986.000 -190.909 -311.818 -147.959 0.227 0.210 -0.945 
-1.000 -23.000 987.000 -183.636 -312.727 -143.878 0.280 0.105 -1.137 
1.000 -18.000 987.000 -190.000 -310.909 -146.939 0.227 0.245 -1.190 
-1.000 -19.000 994.000 -191.818 -311.818 -144.898 0.227 0.157 -0.962 
1.000 -19.000 987.000 -185.455 -310.909 -144.898 0.420 0.052 -1.172 
1.000 -21.000 982.000 -188.182 -311.818 -143.878 0.245 0.385 -0.945 
1.000 -19.000 988.000 -189.091 -310.909 -146.939 0.332 0.035 -1.067 
1.000 -20.000 982.000 -189.091 -310.909 -142.857 0.332 -0.052 -1.102 
1.000 -21.000 992.000 -190.909 -310.909 -146.939 0.472 0.140 -1.050 
0.000 -23.000 989.000 -187.273 -312.727 -146.939 0.315 0.035 -1.190 
2.000 -25.000 987.000 -188.182 -310.909 -141.837 0.367 0.087 -0.892 
0.000 -21.000 984.000 -190.000 -310.000 -148.980 0.332 0.105 -0.945 
-1.000 -24.000 984.000 -186.364 -311.818 -142.857 0.437 0.035 -1.050 
-1.000 -24.000 984.000 -190.000 -310.000 -145.918 0.315 0.227 -0.927 
0.000 -24.000 989.000 -190.000 -310.909 -146.939 0.245 0.157 -1.207 
-1.000 -18.000 984.000 -189.091 -309.091 -144.898 0.332 0.280 -1.242 
0.000 -22.000 987.000 -192.727 -310.000 -147.959 0.385 0.175 -0.997 
1.000 -24.000 989.000 -190.909 -310.909 -145.918 0.280 0.140 -1.347 
0.000 -22.000 986.000 -191.818 -312.727 -146.939 0.525 -0.157 -1.452 
1.000 -20.000 989.000 -192.727 -309.091 -148.980 0.350 0.087 -1.207 
1.000 -21.000 985.000 -190.000 -310.909 -146.939 0.385 0.052 -1.190 
1.000 -19.000 993.000 -185.455 -313.636 -142.857 0.280 0.175 -1.120 
0.000 -25.000 983.000 -192.727 -310.000 -152.041 0.455 -0.087 -1.347 
5.000 -21.000 990.000 -190.909 -310.909 -147.959 0.297 0.210 -1.172 
21.000 55.000 1069.000 -160.000 -322.727 -126.531 0.332 1.225 -5.617 
